"Jaar","Maand","Weg/knoop","Segment","Uur","Aantal voertuigen"
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",0,1119
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",1,708
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",2,501
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",3,471
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",4,629
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",5,2056
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",6,4359
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",7,4887
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",8,5003
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",9,4896
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",10,4754
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",11,4760
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",12,5291
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",13,5653
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",14,5561
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",15,5727
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",16,6345
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",17,6453
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",18,5914
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",19,4591
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",20,3504
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",21,2873
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",22,2399
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",23,1691
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",0,617
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",1,404
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",2,282
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",3,238
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",4,320
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",5,999
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",6,1876
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",7,2681
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",8,2690
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",9,2453
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",10,2515
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",11,2699
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",12,2966
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",13,3172
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",14,3262
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",15,3629
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",16,4180
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",17,4469
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",18,3920
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",19,2672
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",20,1929
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",21,1532
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",22,1329
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",23,915
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",0,674
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",1,398
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",2,252
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",3,197
