"Jaar","Maand","Weg/knoop","Segment","Uur","Aantal voertuigen"
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",0,203
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",1,184
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",2,180
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",3,229
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",4,388
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",5,882
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",6,1243
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",7,879
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",8,753
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",9,1028
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",10,1166
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",11,1182
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",12,1162
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",13,1151
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",14,1129
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",15,1056
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",16,911
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",17,729
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",18,615
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",19,562
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",20,473
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",21,350
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",22,267
2015,1,"R1, binnenring Antwerpen (ring 1)","van Berchem tot Antwerpen-Zuid richting Ring 1",23,217
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",0,136
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",1,128
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",2,125
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",3,161
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",4,275
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",5,641
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",6,868
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",7,677
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",8,569
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",9,752
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",10,881
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",11,919
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",12,895
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",13,874
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",14,857
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",15,798
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",16,678
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",17,550
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",18,463
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",19,413
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",20,340
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",21,236
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",22,192
2015,1,"R1, binnenring Antwerpen (ring 1)","van Linkeroever tot Antwerpen-West richting Ring 1",23,154
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",0,114
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",1,113
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",2,104
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",3,137
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",4,223
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",5,518
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",6,703
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",7,597
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",8,505
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",9,731
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",10,937
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",11,978
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",12,907
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",13,882
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",14,845
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",15,752
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",16,604
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",17,520
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",18,463
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",19,398
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",20,300
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",21,207
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",22,158
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",23,134
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",0,131
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",1,109
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",2,109
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",3,143
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",4,252
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",5,563
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",6,919
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",7,687
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",8,625
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",9,839
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",10,904
